Deutsch,Transkription
Vierzig,Arbaʿūn
Fünfzig,Khamsūn
Sechzig,Sittūn
Siebzig,Sabʿūn
Achtzig,Thamānūn
Neunzig,Tisʿūn
Hundert,Miʾa
Gebet,Ṣalāh
Fasten,Ṣawm
Moschee,Masjid
Allah,Allāh
Qurʾān,Qurʾān
Islam,Al-islām
gehen,Yadhhab
kommen,Yaʾtī
zurückkehren,Yaʿūd
fahren,Yusāfir
laufen,Yamshī
rennen,Yarkuḍ
Haus,Bayt
Zimmer,Ghurfa
Küche,Maṭbakh
Bad,Ḥammām
Fenster,Nāfidha
Tür,Bāb
Tisch,Ṭāwila
Stuhl,Kursī
Bett,Sarīr
Handy,Hātif
Buch,Kitāb
Stift,Qalam
Papier,Waraqa
Schlüssel,Miftāḥ
Tasche,Ḥaqība
Computer,Ḥāsūb
Internet,Internet
E-Mail,Barīd iliktrūnī
Telefon,Hātif
Nachricht,Risāla
Bildschirm,Shāsha
Ich habe keine Zeit,Laysa ʿindī waqt
Ich bin zuhause,Anā fī al-bayt
Ich gehe zur Arbeit,Adhhab ilā al-ʿamal
Ich warte,Antaẓir
Ich bin beschäftigt,Anā mashghūl
jetzt,Al-ʾān
bald,Qarīban
immer,Dāʾiman
manchmal,Aḥyānan
nie,ʾAbadan
schnell,Bisurʿa
langsam,Bibuṭʾ
in,Fī
auf,ʿAlā
unter,Taḥt
neben,Bijānib
vor,Amām
hinter,Khalf
zwischen,Bayn
Ich möchte das kaufen,Urīdu an ishtariy hādhā
Wie viel kostet das?,Kam siʿr hādhā?
Wo ist die Kasse?,Ayna aṣ-ṣundūq?
Gibt es Rabatt?,Hal hunāka khaṣm?
Ich möchte essen,Urīdu an ākul
Ich möchte trinken,Urīdu an ashrab
"Die Rechnung, bitte",Al-ḥisāb min faḍlik
Das war lecker,Kāna ladhīdhan
Zum Bahnhof bitte,Ilā al-maḥaṭṭa min faḍlik
Wie lange dauert es?,Kam yastaġriqu al-waqt?
Stoppen Sie bitte hier,Qif hunā min faḍlik
Ich hätte gerne ...,Awaddu an aḥṣul ʿalā ...
Kannst du mir helfen?,Hal yumkinuka musāʿadatī?
Ich brauche Hilfe,Aḥtāju ilā musāʿada
Ich wünsche dir einen schönen Tag,Atamannā laka yawman saʿīdan
Frühstück,Fuṭūr
Ei,Bayḍa
Käse,Jubn
Butter,Zubda
Honig,ʿAsal
Tee,Shāy
Kaffee,Qahwa
Tasse,Kūb
Löffel,Milʿaqa
Messer,Sikkīn
Gabel,Shawka
Wohnzimmer,Ghurfat al-julūs
Schlafzimmer,Ghurfat an-nawm
Badezimmer,Ḥammām
Küche,Maṭbakh
Lampe,Miṣbāḥ
Schrank,Khizāna
Spiegel,Mirʾāh
Teppich,Sijjāda
Hundert,Miʾa
Zweihundert,Miʾatān
Dreihundert,Thalāthumiʾa
Vierhundert,Arbaʿumiʾa
Fünfhundert,Khamsumiʾa
Sechshundert,Sittumiʾa
Siebenhundert,Sabʿumiʾa
Achthundert,Thamānumiʾa
Neunhundert,Tisʿumiʾa
Tausend,ʾAlf
Uhr,Sāʿa
Es ist eins,As-sāʿa al-wāḥida
Es ist zwei Uhr,As-sāʿa ath-thāniya
Mittag,Aẓ-Ẓuhr
Mitternacht,Muntaṣaf al-layl
Freund,Ṣadīq
Freundin,Ṣadīqa
Ehemann,Zawj
Ehefrau,Zawja
Verlobt,Khaṭīb / Khaṭība
Liebe,Ḥubb
Familie,ʿĀʾila
Reise,Safar
Flughafen,Maṭār
Bahnhof,Maḥaṭṭat al-qiṭār
Haltestelle,Maḥaṭṭa
Hotel,Funduq
Reisepass,Jawāz as-safar
Gepäck,ʾAmtiʿa
Auto,Sayyāra
Bus,Ḥāfila
Zug,Qiṭār
Flugzeug,Ṭāʾira
Taxi,Tāksī
Fahrrad,Darrāja
zu Fuß,Mashyan
geradeaus,Ilā al-amām
rechts,Yamīn
links,Yasār
an der Ecke,ʿInd az-zāwiya
nach dem Kreisverkehr,Baʿda ad-dawwār
gegenüber,Muqābil
nah,Qarīb
weit,Baʿīd
Ticket,Tadhkira
Fahrkarte,Biṭāqat as-safar
Wie viel kostet ein Ticket?,Kam thaman at-tadhkira?
Ich möchte ein Ticket nach ...,Urīdu tadhkira ilā ...
Gibt es einen Sitzplatz?,Hal hunāka maqʿad?
Ich habe reserviert,Anā ḥajaztu
Wann fährt der Zug?,Matā yughādir al-qiṭār?
Gesundheit,Ṣiḥḥa
Krankheit,Maraḍ
Kopfschmerzen,Ṣudāʿ
Fieber,Ḥummā
Husten,Suʿāl
Schnupfen,Zukām
Durchfall,ʾIs'hāl
Erkältung,Bard
Arzt,Ṭabīb
Krankenhaus,Mustashfā
Apotheke,Ṣaydaliyya
Rezept,Waṣfa ṭibbiyya
Medizin,Dawāʾ
Ich brauche einen Arzt,Aḥtāju ilā ṭabīb
Ich habe Schmerzen,ʿIndī ʾalam
Wo ist das Krankenhaus?,Ayna al-mustashfā?
müde,Taʿbān
krank,Marīḍ
gesund,Salīm
schwach,Ḍaʿīf
stark,Qawī
hungrig,Jāʾiʿ
durstig,ʿAṭshān
schwindelig,Dawkha
Hilfe!,An-najda!
Feuer!,Ḥarīq!
Polizei,Shurṭa
Krankenwagen,Sayyārat isʿāf
Notaufnahme,Qism aṭ-ṭawāriʾ
Ich brauche Hilfe,Aḥtāju ilā musāʿada
glücklich,Saʿīd
traurig,Ḥazīn
wütend,Ghāḍib
verliebt,Mughram
aufgeregt,Mutaḥammis
ängstlich,Khāʾif
ruhig,Hādiʾ
gelangweilt,Ḍajar
nett,Laṭīf
ehrlich,Ṣādiq
faul,Kasūl
fleißig,Mujtahid
klug,Dhakī
dumm,Ghabī
geduldig,Ṣabūr
hilfsbereit,Mutāʿāwin
neu,Jadīd
alt,Qadīm
lang,Ṭawīl
kurz,Qaṣīr
schwer,Thaqīl
leicht,Khafīf
schnell,Sarīʿ
langsam,Baṭīʾ
Ich mag ...,Uḥibb ...
Ich liebe ...,Aʿshaq ...
Ich möchte ...,Urīdu ...
Ich wünsche mir ...,Atamannā ...
Ich interessiere mich für ...,Anā muhtamm bi ...
Ich hasse ...,Akrah ...
Hör zu!,Istamiʿ!
Sprich!,Taḥaddath!
Schreib!,Uktub!
Lies!,Iqraʾ!
Mach das!,Ifʿal hādhā!
Warte!,Intaẓir!
Komm!,Taʿāl!
Setz dich!,Ijlis!
Schule,Madrasa
Lehrer,Muʿallim
Schüler,Tilmīdh
Klasse,Ṣaff
Buch,Kitāb
Tafel,Sabbūra
Frage,Suʾāl
Antwort,Jawāb
Prüfung,Imtiḥān
Noten,Darajāt
bestehen,Yanjah
durchfallen,Yarsub
Übung,Tamrīn
Test,Ikhtibār
lesen,Yaqraʾ
schreiben,Yaktub
sehen,Yarā
hören,Yasmaʿ
denken,Yufakkir
verstehen,Yafham
vergessen,Yansā
sagen,Yaqūl
tun/machen,Yafʿal
